;d;ITD;Socialidade;Buzz
Ancyloscelis_sp;0.535544032;3.2;solitary;no
Aparatrigona_impunctata;0.498846206;1.575;social;no
Apis_mellifera;0.379766952;2.793939394;social;yes
Augochlora_Augochlora_sp13;1;1.35;solitary;yes
Augochlora_Augochlora_sp16;0.18036511;1.6;solitary;yes
Augochlora_aurinasis;0.535544032;1.23;solitary;yes
Augochlora_Oxystoglossella_sp03;0.535544032;1.3;solitary;yes
Augochlora_Oxystoglossella_sp04;0.273323788;1.25;solitary;yes
Augochlorella_sp;0;na;solitary;yes
Augochloropsis_hebescens;0.451736528;2.675;solitary;yes
Centris_longimana;0;7;solitary;yes
Cephalotrigona_capitata;0.64746165;2.33;social;no
Cephalotrigona_femorata;0.371859667;2.2;social;no
Ceratina_Ceratinula_sp09;0.273323788;0.8;solitary;no
Ceratina_Ceratinula_sp10;1;1.1;solitary;no
Ceratina_Ceratinula_sp11;0.273323788;0.9;solitary;no
Ceratina_Crewella_sp08;0.17399863;1.3;solitary;no
Ceratina_Crewella_sp09;0.540738474;1.3;solitary;no
Ceratina_Crewella_sp10;0;1.65;solitary;no
Ceratina_Crewella_sp11;0.615854286;1.2;solitary;no
Ceratina_Crewella_sp14;1;na;solitary;no
Eufriesea_superba;0.669114892;5.85;solitary;yes
Euglossa_Euglossa_sp01;0.834557446;3.391;solitary;yes
Eulonchopria_limbella;0.834557446;na;solitary;no
Exaerete_frontalis;0.737779756;6.092307692;solitary;no
Exomalopsis_analis;0.572337202;1.75;solitary;yes
Exomalopsis_auropilosa;0.834557446;1.72;solitary;yes
Frieseomelitta_doederleini;0.535544032;1.3;social;no
Frieseomelitta_flavicornis;0.049785318;1.3;social;no
Frieseomelitta_longipes;0;1.45;social;no
Frieseomelitta_portoi;0.124730548;0.95;social;no
Geotrigona_mattogrossensis;0.154124524;1.58;social;no
Geotrigona_subnigra;0;1.55;social;no
Megachile_Dactylomegachile_sp02;1;2.25;solitary;no
Melipona_amazonica;0;2.303846154;social;yes
Melipona_flavolineata;0.406894648;2.714285714;social;yes
Melipona_nebulosa;0.669114892;3.3;social;yes
Melipona_puncticollis;0.47237916;2.655555556;social;yes
Melipona_seminigrapernigra;0.526840141;2.94;social;yes
Nannotrigona_punctata;0.380230992;1.3;social;no
Nannotrigona_schultzei;0.154124524;1.2;social;no
Neocorynura_tarpeia;0.197853201;1.5;solitary;yes
Oxytrigona_ignis;1;1.4775;social;no
Paratetrapedia_leucostoma;0.535544032;2.0623;solitary;yes
Paratetrapedia_testacea;0.442958373;1.6;solitary;yes
Paratrigona_crassicornis;0.253466203;1.25;social;no
Partamona_ailyae;0.406894648;1.89;social;no
Partamona_vicina;0.135147155;1.564912281;social;no
Plebeia_fraterna;0.262220244;1.194444444;social;no
Plebeia_goeldiana;0.02676051;0.9;social;no
Plebeia_minima;0.454648935;0.9;social;no
Ptilotrigona_lurida;0.351114961;1.657042254;social;no
Scaptotrigona_nigrohirta;0.706978436;1.7;social;no
Scaptotrigona_polysticta;0.668074548;1.52;social;no
Scaptotrigona_postica;0.406894648;2.05;social;no
Tetragona_beebei;0.55601204;1.23;social;no
Tetragona_clavipes;0.380599344;1.30952381;social;no
Tetragona_dorsalis;0.326796684;1.2;social;no
Tetragona_goettei;0.355841186;1.2;social;no
Tetragona_truncata;0.636133439;1.2;social;no
Tetragonisca_angustula;0.154835826;0.976;social;no
Trigona_amalthea;0.616904277;1.472857143;social;no
Trigona_chanchamayoensis;0.459999068;1.309836066;social;no
Trigona_cilipes;0;1.7;social;no
Trigona_dimidiata;0.572337202;2;social;no
Trigona_guianae;0.343003261;1.35989011;social;no
Trigona_hypogea;0.213339268;1.405;social;no
Trigona_lacteipennis;0.77833085;1.45;social;no
Trigona_pallens;0.26203632;1.451785714;social;no
Trigona_recursa;0.359423415;1.373863636;social;no
Trigona_truculenta;0.615854286;2.5125;social;no
Trigona_williana;0.36738133;1.754722222;social;no
Xenochlora_nigrofemorata;0.02676051;2.45;solitary;no
Xylocopa_frontalis;0.881525245;8.15;solitary;yes
