;local;coleta;Fric.bee;Feve.bee;FDis.bee;FRic.n.bee;FEve.n.bee;FDis.n.bee;conec;w_conec;ID;IE;IE_alatalo;H2;S_plants;S_bees;multi_riq;IE_prod;IE_sum;FRic.n.plant;FEve.n.plant;FDis.n.plant;Fric.plant;FEve.plant;FDis.plant
CN01_col_1;CN01;col_1;NA;NA;0;NA;NA;0;1;0.417003282;1.153741943;0.83224889;0.727614509;NA;4;1;4;0.83224889;0.83224889;0.001445573;0.6898331;0.5075027;0.05004132;0.4543915;0.4377567
CN01_col_2;CN01;col_2;1.48E-02;0.22324489;0.34385365;2.02E-01;0.7751971;0.278079396;0.2;0.104166667;1.906154747;0.53613731;0.942873837;1;5;7;35;0.53613731;0.979569765;0.098187815;0.6819239;0.5067713;0.110264;0.6666667;0.5332128
CN01_col_3;CN01;col_3;4.85E-09;0.9544215;0.00439332;1.53E-03;0.666697;0.376691062;1;0.468682409;1.011404265;0.920619836;0.898236727;NA;1;3;3;0.920619836;0.920619836;0.003106791;0.8240277;0.4624753;NA;NA;0
CN02_col_1;CN02;col_1;1.61E-07;0.76208963;0.006571153;2.84E-03;0.6488169;0.008616095;0.3;0.225802477;2.145841753;0.63090774;0.936077243;0.296081911;6;5;30;0.63090774;0.976614669;NA;0.668839;0.4289185;0.110264;0.8924566;0.5321451
CN02_col_3;CN02;col_3;3.02E-09;0.50260182;0.001956264;2.81E-03;0.6881209;0.003078681;0.25;0.135830044;1.560710409;0.520977933;0.930305955;1;5;4;20;0.520977933;0.9697239;0.075123387;0.8431642;0.5518171;0.21788732;0.9110572;0.5577678
CN03_col_1;CN03;col_1;7.84E-04;0.08392115;0.052280133;1.65E-01;0.6396673;0.217438657;0.295454545;0.140083249;2.321210524;0.613396988;0.750492233;0.61308241;4;11;44;0.613396988;0.904973238;0.016700799;0.5664972;0.5861052;0.10844515;0.5;0.4914532
CN03_col_2;CN03;col_2;1.69E-01;0.16855542;0.106418955;1.65E-01;0.8167315;0.213858205;0.361111111;0.248683358;2.419500632;0.675174507;0.872150478;0.38189859;4;9;36;0.675174507;0.943293724;0.004662051;0.7080714;0.4505824;0.00539904;0.4382659;0.4702204
CN03_col_3;CN03;col_3;1.28E-03;0.04615212;0.168757432;3.92E-03;0.8180058;0.220136247;0.25;0.138461538;2.302585093;0.624196351;1;0;5;8;40;0.624196351;1;0.005791419;0.7994034;0.5318988;0.09781458;0.9134993;0.4784189
CN04_col_1;CN04;col_1;6.73E-08;0.49743309;0.006740699;3.82E-03;0.9035528;0.005800631;0.425;0.228278369;2.719376804;0.737182344;0.891714356;0.382522997;8;5;40;0.737182344;0.959820696;0.010218746;0.9309803;0.4375727;0.39279607;0.7284811;0.5094286
CN04_col_2;CN04;col_2;8.94E-04;0.11831249;0.103800409;1.81E-01;0.5996374;0.068602155;0.121212121;0.087091813;2.595284147;0.531515345;0.853062639;0.742690805;12;11;132;0.531515345;0.936050892;0.006301138;0.8207414;0.5720933;0.41009746;0.6235914;0.5989225
CN05_col_1;CN05;col_1;7.37E-04;0.13213497;0.067865481;4.82E-01;0.8109994;0.162766922;0.266666667;0.192584271;2.751666617;0.672065229;0.968763637;0.166666667;5;12;60;0.672065229;0.992453946;0.000244943;0.6049148;0.504687;0.28926045;0.6666667;0.4214658
CN05_col_2;CN05;col_2;4.12E-01;0.20865014;0.222799579;4.32E-03;0.6188649;0.239013664;0.114285714;0.073750182;2.725550396;0.551547474;0.942178472;0.5;10;14;140;0.551547474;0.98303451;0.001851707;0.8209858;0.337718;0.42686136;0.7873872;0.5457278
CN06_col_1;CN06;col_1;3.41E-01;0.24035538;0.350141772;3.53E-01;0.8261826;0.249399885;0.101214575;0.06652051;3.103237238;0.563263478;0.858802478;0.513653825;13;19;247;0.563263478;0.964074853;0.009121184;0.9300711;0.4092229;0.46275458;0.8359945;0.5638035
CN06_col_2;CN06;col_2;3.35E-01;0.19127624;0.193943877;1.87E-01;0.6921982;0.190486625;0.164705882;0.090097846;3.166416425;0.616538298;0.806336596;0.526389918;10;17;170;0.616538298;0.950246726;0.014253701;0.8908084;0.5271427;0.33741748;0.7628086;0.5860284
CN07_col_1;CN07;col_1;1.72E-01;0.51399206;0.148474289;1.91E-03;0.6324615;0.090695057;0.3;0.222213406;2.094729048;0.615879884;0.870390482;0.344360938;6;5;30;0.615879884;0.953352274;NA;0.6323173;0.5187544;0.10004857;0.6686847;0.4855724
CN07_col_2;CN07;col_2;1.65E-01;0.14366718;0.093092621;1.85E-01;0.7492505;0.054768683;0.188888889;0.140736643;2.592730818;0.576186774;0.719226718;0.473430529;9;10;90;0.576186774;0.91512022;0.01195867;0.8218472;0.4723533;0.33115483;0.7010548;0.4535129
CN08_col_1;CN08;col_1;NA;NA;0.001887263;NA;NA;0.001963776;0.666666667;0.352157352;1.279854226;0.714300244;0.898778719;0.420619836;3;2;6;0.714300244;0.923219672;0.046167697;0.9659085;0.5426226;0.01064862;0.9516937;0.2933413
CN08_col_2;CN08;col_2;7.45E-08;0.35444725;0.003952458;3.02E-05;0.81722;0.013634643;0.5;0.257434005;1.866216024;0.673095151;0.760990777;0.503302557;4;4;16;0.673095151;0.897460201;0.068565765;0.6907648;0.5645112;0.10779059;0.8612116;0.5419597
CN09_col_1;CN09;col_1;3.66E-01;0.47681243;0.277321446;3.68E-03;0.7293632;0.013045048;0.236111111;0.1570951;2.752191547;0.643536687;0.901774087;0.345600563;9;8;72;0.643536687;0.97140286;0.106860075;0.7686884;0.4134777;0.32724905;0.798614;0.5603822
CN09_col_2;CN09;col_2;1.86E-01;0.31467289;0.172107768;1.89E-01;0.7481066;0.13289663;0.185185185;0.145873669;2.841460038;0.606873216;0.821164941;0.362028071;12;9;108;0.606873216;0.948502663;0.013977897;0.7946988;0.5274939;0.46141506;0.731807;0.5576066
CN09_col_3;CN09;col_3;1.69E-01;0.24084469;0.247086281;2.22E-03;0.6224015;0.176398;0.428571429;0.24706117;2.13833306;0.70235418;0.935168586;0.557885891;3;7;21;0.70235418;0.973197315;0.006113755;0.742026;0.580331;0.06572364;0.9278582;0.4554642
CN10_col_1;CN10;col_1;4.58E-04;0.07344662;0.106948344;2.13E-03;0.6447569;0.108909861;0.1875;0.103514734;2.029682547;0.524303063;0.85707045;0.928249327;8;6;48;0.524303063;0.923748336;NA;0.6740594;0.5905205;0.10705135;0.7861378;0.5337172
CN10_col_2;CN10;col_2;1.76E-01;0.19192466;0.192980228;9.91E-03;0.7434891;0.229492978;0.152777778;0.085086913;2.992400521;0.602115279;0.890087967;0.607444613;9;16;144;0.602115279;0.968087811;0.005240505;0.7168603;0.3295905;0.3529814;0.8198392;0.5799475
CN10_col_3;CN10;col_3;NA;NA;0.010030517;NA;NA;0.412866664;0.5;0.25;0.693147181;0.5;1;NA;2;2;4;0.5;1;0.008413212;0.960096;0.5307778;NA;NA;0.5
CN11_col_1;CN11;col_1;7.10E-07;0.63180573;0.021915669;6.92E-07;0.823542;0.013361819;0.416666667;0.210914742;1.549826046;0.623695883;0.930981048;0.666666667;4;3;12;0.623695883;0.962961065;0.059087966;0.787051;0.5454468;0.10175853;0.5;0.5030294
CN11_col_2;CN11;col_2;9.50E-07;0.66835643;0.017982229;3.66E-03;0.5824422;0.059046753;0.5;0.275807099;1.83437197;0.695086063;0.865877548;1;2;7;14;0.695086063;0.942680715;0.001207501;0.6646695;0.5441014;NA;NA;0.16
CN12_col_1;CN12;col_1;8.25E-07;0.92006219;0.027678338;2.35E-04;0.6666837;0.007887424;1;0.478553391;1.039720771;0.94639463;0.911530268;NA;1;3;3;0.94639463;0.94639463;0.001659175;0.871438;0.5430894;NA;NA;0
CN12_col_2;CN12;col_2;NA;NA;0;NA;NA;0;1;0.5;0;NA;NA;NA;1;1;1;NA;NA;0.003305356;0.8800336;0.4291586;NA;NA;0
CN12_col_3;CN12;col_3;2.45E-03;0.10974678;0.170624703;1.63E-01;0.767239;0.347881519;0.19047619;0.130759411;2.313153679;0.558310031;0.7969412;0.530721274;7;9;63;0.558310031;0.93088152;0.000475302;0.7587572;0.4902304;0.18634226;0.6082736;0.3993114
CN13_col_1;CN13;col_1;1.02E-03;0.09606986;0.102689643;2.30E-03;0.7299863;0.05557388;0.240740741;0.173540293;2.425479705;0.608044474;0.853734644;0.605588892;6;9;54;0.608044474;0.945624793;0.007015005;NA;0.5137643;0.20947523;0.5302015;0.4370358
CN13_col_2;CN13;col_2;1.68E-01;0.34170636;0.167610835;2.32E-05;0.7498622;0.135228762;0.333333333;0.207200152;2.143952201;0.630352185;0.796485314;0.358104464;6;5;30;0.630352185;0.93110661;0.00035819;0.8036285;0;0.27720928;0.7553856;0.5461985
CN14_col_1;CN14;col_1;7.73E-04;0.09607157;0.118193988;1.63E-01;0.8794556;0.104825077;0.222222222;0.132729837;2.043191871;0.570163548;0.947647174;0.296081911;6;6;36;0.570163548;0.982567593;0.056278946;0.790179;0.4553299;0.19831942;0.8642313;0.5581695
CN14_col_2;CN14;col_2;1.69E-01;0.16501019;0.158851628;1.94E-01;0.7365094;0.081573196;0.222222222;0.123052057;2.079151273;0.546187449;0.726109567;0.853045347;5;9;45;0.546187449;0.902963925;0.017071561;0.5549275;0.5039189;0.18920427;0.8140226;0.5021567
